price,area,mainroad,neighborhood,airconditioning,stories
5950000,7320,yes,A,no,2
5950000,6525,yes,A,no,4
5943000,15600,yes,B,yes,1
5880000,7160,yes,C,no,1
5880000,6500,yes,C,yes,3
5873000,5500,yes,A,yes,3
5873000,11460,yes,B,no,3
5866000,4800,yes,C,no,1
5810000,5828,yes,B,no,4
5810000,5200,yes,B,yes,3
5810000,4800,yes,C,yes,3
5803000,7000,yes,B,no,1
5775000,6000,yes,C,yes,4
5740000,5400,yes,C,yes,2
5740000,4640,yes,B,no,2
5740000,5000,yes,B,yes,3
5740000,6360,yes,A,yes,1
5740000,5800,yes,C,yes,4
5652500,6660,yes,B,no,2
5600000,10500,yes,B,no,2
5600000,4800,no,C,no,3
5600000,4700,yes,A,yes,2
5600000,5000,yes,A,no,4
5600000,10500,yes,B,no,1
5600000,5500,yes,B,no,2
5600000,6360,yes,B,no,3
5600000,6600,yes,B,no,1
5600000,5136,yes,C,yes,2
5565000,4400,yes,B,yes,2
5565000,5400,yes,A,yes,2
5530000,3300,yes,B,no,2
5530000,3650,yes,B,no,2
5530000,6100,yes,A,no,1
5523000,6900,yes,B,no,1
5495000,2817,no,A,no,2
5495000,7980,yes,B,no,1
5460000,3150,yes,A,yes,1
5460000,6210,yes,A,yes,4
5460000,6100,yes,B,yes,3
5460000,6600,yes,B,no,2
5425000,6825,yes,B,yes,1
5390000,6710,yes,A,no,2
5383000,6450,yes,C,no,1
5320000,7800,yes,C,yes,1
5285000,4600,yes,B,yes,1
5250000,4260,yes,A,yes,2
5250000,6540,no,B,yes,2
5250000,5500,yes,B,no,1
5250000,10269,yes,B,no,1
5250000,8400,yes,C,yes,2
5250000,5300,yes,C,yes,1
5250000,3800,yes,C,no,2
5250000,9800,yes,B,no,2
5250000,8520,yes,A,yes,1
5243000,6050,yes,B,no,1
5229000,7085,yes,B,no,1
5215000,3180,yes,B,no,2
5215000,4500,no,B,yes,1
5215000,7200,yes,A,no,2
5145000,3410,no,B,yes,2
5145000,7980,yes,B,no,1
5110000,3000,yes,A,no,2
5110000,3000,yes,C,no,2
5110000,11410,yes,A,no,2
5110000,6100,yes,B,yes,1
5075000,5720,yes,C,yes,2
5040000,3540,no,B,no,1
5040000,7600,yes,A,yes,2
5040000,10700,yes,B,no,2
5040000,6600,yes,A,no,1
5033000,4800,yes,B,no,1
5005000,8150,yes,B,no,1
4970000,4410,yes,B,no,2
4970000,7686,yes,B,no,1
4956000,2800,no,B,yes,2
4935000,5948,yes,B,yes,2
4907000,4200,yes,A,no,2
4900000,4520,yes,B,yes,2
4900000,4095,no,B,yes,2
4900000,4120,yes,B,no,1
4900000,5400,yes,B,no,2
4900000,4770,yes,B,no,1
4900000,6300,yes,B,yes,1
4900000,5800,yes,B,yes,1
4900000,3000,yes,B,yes,2
4900000,2970,yes,B,no,3
4900000,6720,yes,C,no,1
4900000,4646,yes,B,no,2
4900000,12900,yes,A,no,1
4893000,3420,yes,B,yes,2
4893000,4995,yes,B,no,1
4865000,4350,yes,C,no,1
4830000,4160,yes,C,no,3
4830000,6040,yes,B,no,1
4830000,6862,yes,A,yes,2
4830000,4815,yes,B,yes,1
4795000,7000,yes,C,no,2
4795000,8100,yes,B,yes,4
4767000,3420,yes,B,no,2
4760000,9166,yes,B,yes,1
4760000,6321,yes,A,yes,2
4760000,10240,yes,C,yes,1
4753000,6440,yes,B,yes,1
4690000,5170,yes,B,yes,4
4690000,6000,yes,A,yes,1
4690000,3630,yes,B,no,2
4690000,9667,yes,B,no,2
4690000,5400,yes,B,no,2
4690000,4320,yes,B,no,1
4655000,3745,yes,A,no,2
4620000,4160,yes,C,yes,1
4620000,3880,yes,B,no,2
4620000,5680,yes,B,yes,2
4620000,2870,yes,B,no,2
4620000,5010,yes,B,no,2
4613000,4510,yes,B,no,2
4585000,4000,yes,A,no,2
4585000,3840,yes,B,no,2
4550000,3760,yes,B,no,1
4550000,3640,yes,A,yes,2
4550000,2550,yes,A,no,2
4550000,5320,yes,B,no,2
4550000,5360,yes,C,no,2
4550000,3520,yes,B,no,1
4550000,8400,yes,C,no,4
4543000,4100,yes,B,no,1
4543000,4990,yes,A,no,2
4515000,3510,yes,B,no,3
4515000,3450,yes,B,no,2
4515000,9860,yes,B,no,1
4515000,3520,yes,A,no,2
4480000,4510,yes,B,yes,2
4480000,5885,yes,C,yes,1
4480000,4000,yes,A,no,2
4480000,8250,yes,A,no,1
4480000,4040,yes,B,no,2
4473000,6360,yes,A,yes,1
4473000,3162,yes,A,yes,2
4473000,3510,yes,B,no,2
4445000,3750,yes,B,no,1
4410000,3968,no,B,no,2
4410000,4900,yes,B,no,2
4403000,2880,yes,B,no,2
4403000,4880,yes,C,no,1
4403000,4920,yes,B,no,2
4382000,4950,yes,B,yes,2
4375000,3900,yes,C,no,2
4340000,4500,yes,A,no,3
4340000,1905,no,B,no,2
4340000,4075,yes,B,no,1
4340000,3500,yes,A,no,2
4340000,6450,yes,B,no,2
4319000,4032,yes,A,no,1
4305000,4400,yes,B,no,1
4305000,10360,yes,B,no,1
4277000,3400,yes,B,no,2
4270000,6360,yes,A,no,1
4270000,6360,yes,C,no,2
4270000,4500,yes,A,yes,1
4270000,2175,no,C,yes,2
4270000,4360,yes,A,no,2
4270000,7770,yes,A,no,1
4235000,6650,yes,B,no,2
4235000,2787,yes,A,no,1
4200000,5500,yes,C,yes,2
4200000,5040,yes,C,yes,2
4200000,5850,yes,B,no,1
4200000,2610,no,B,no,2
4200000,2953,yes,C,yes,2
4200000,2747,no,B,no,2
4200000,4410,no,C,no,1
4200000,4000,no,B,no,2
4200000,2325,no,B,no,2
4200000,4600,yes,B,yes,2
4200000,3640,yes,C,no,2
4200000,5800,yes,B,no,1
4200000,7000,yes,A,no,1
4200000,4079,yes,B,no,3
4200000,3520,yes,B,no,2
4200000,2145,yes,C,no,3
4200000,4500,yes,A,no,1
4193000,8250,yes,B,no,1
4193000,3450,yes,B,no,2
4165000,4840,yes,B,no,2
4165000,4080,yes,B,no,2
4165000,4046,yes,B,no,2
4130000,4632,yes,B,yes,2
4130000,5985,yes,B,no,1
4123000,6060,yes,B,no,1
4098500,3600,yes,A,yes,1
4095000,3680,yes,B,no,2
4095000,4040,yes,B,no,2
4095000,5600,yes,B,yes,1
4060000,5900,no,C,no,2
4060000,4992,yes,C,no,2
4060000,4340,yes,B,no,1
4060000,3000,yes,B,yes,3
4060000,4320,yes,A,no,2
4025000,3630,yes,B,no,2
4025000,3460,yes,A,yes,1
4025000,5400,yes,B,no,1
4007500,4500,no,B,yes,2
4007500,3460,yes,B,yes,2
3990000,4100,no,C,no,1
3990000,6480,no,B,yes,2
3990000,4500,no,B,yes,2
3990000,3960,yes,A,no,2
3990000,4050,yes,C,no,2
3920000,7260,yes,A,no,1
3920000,5500,yes,B,no,2
3920000,3000,yes,B,no,2
3920000,3290,yes,A,no,1
3920000,3816,yes,A,yes,1
3920000,8080,yes,B,yes,1
3920000,2145,yes,C,no,1
3885000,3780,yes,B,no,2
3885000,3180,yes,A,no,2
3850000,5300,yes,B,no,2
3850000,3180,yes,B,no,1
3850000,7152,yes,A,yes,2
3850000,4080,yes,B,no,1
3850000,3850,yes,B,no,1
3850000,2015,yes,B,no,2
3850000,2176,yes,B,no,2
3836000,3350,yes,C,no,2
3815000,3150,no,B,no,1
3780000,4820,yes,B,no,2
3780000,3420,yes,B,no,2
3780000,3600,yes,B,no,1
3780000,5830,yes,C,no,1
3780000,2856,yes,A,no,3
3780000,8400,yes,A,no,1
3773000,8250,yes,A,no,1
3773000,2520,no,A,yes,1
3773000,6930,no,A,no,2
3745000,3480,yes,B,no,1
3710000,3600,yes,C,no,1
3710000,4040,yes,B,no,1
3710000,6020,yes,B,no,1
3710000,4050,yes,A,no,1
3710000,3584,yes,B,no,1
3703000,3120,no,B,no,2
3703000,5450,yes,A,no,1
3675000,3630,yes,A,no,1
3675000,3630,yes,C,yes,1
3675000,5640,no,B,no,1
3675000,3600,yes,A,no,1
3640000,4280,yes,B,yes,1
3640000,3570,yes,B,no,2
3640000,3180,no,B,no,2
3640000,3000,yes,A,yes,2
3640000,3520,yes,B,no,1
3640000,5960,yes,C,no,2
3640000,4130,yes,B,no,2
3640000,2850,no,C,no,2
3640000,2275,yes,B,yes,3
3633000,3520,yes,C,no,1
3605000,4500,yes,B,no,1
3605000,4000,yes,B,no,1
3570000,3150,yes,A,no,2
3570000,4500,yes,A,no,2
3570000,4500,no,A,no,1
3570000,3640,yes,C,no,1
3535000,3850,yes,C,no,1
3500000,4240,yes,B,yes,2
3500000,3650,yes,C,no,2
3500000,4600,yes,B,no,2
3500000,2135,no,C,no,2
3500000,3036,yes,B,no,2
3500000,3990,yes,B,no,2
3500000,7424,no,C,no,1
3500000,3480,no,C,yes,1
3500000,3600,yes,C,no,2
3500000,3640,yes,B,no,1
3500000,5900,yes,A,no,1
3500000,3120,yes,C,no,2
3500000,7350,yes,B,no,1
3500000,3512,yes,C,no,1
3500000,9500,yes,C,no,2
3500000,5880,yes,C,no,1
3500000,12944,yes,C,no,1
3493000,4900,no,C,no,2
3465000,3060,yes,C,no,1
3465000,5320,yes,C,no,1
3465000,2145,yes,A,no,3
3430000,4000,yes,C,no,1
3430000,3185,yes,C,no,1
3430000,3850,yes,C,no,1
3430000,2145,yes,A,no,3
3430000,2610,yes,C,no,2
3430000,1950,yes,C,no,2
3423000,4040,yes,C,no,1
3395000,4785,yes,A,yes,2
3395000,3450,yes,C,no,1
3395000,3640,yes,A,no,1
3360000,3500,yes,C,yes,2
3360000,4960,no,B,no,3
3360000,4120,yes,C,no,2
3360000,4750,yes,C,no,1
3360000,3720,no,C,yes,1
3360000,3750,yes,C,no,1
3360000,3100,no,B,no,2
3360000,3185,yes,A,no,1
3353000,2700,no,A,no,1
3332000,2145,yes,A,no,2
3325000,4040,yes,C,no,1
3325000,4775,yes,C,no,2
3290000,2500,no,C,yes,1
3290000,3180,yes,C,yes,2
3290000,6060,yes,A,no,1
3290000,3480,no,B,no,2
3290000,3792,yes,B,no,2
3290000,4040,yes,C,no,1
3290000,2145,yes,A,no,2
3290000,5880,yes,C,no,1
3255000,4500,no,B,no,1
3255000,3930,no,C,no,1
3234000,3640,yes,C,no,2
3220000,4370,yes,C,no,2
3220000,2684,yes,C,yes,1
3220000,4320,no,C,no,1
3220000,3120,no,A,no,2
3150000,3450,yes,A,no,1
3150000,3986,no,C,no,1
3150000,3500,no,B,no,1
3150000,4095,yes,B,no,1
3150000,1650,no,C,no,2
3150000,3450,yes,B,no,2
3150000,6750,yes,B,no,1
3150000,9000,yes,B,no,2
3150000,3069,yes,C,no,1
3143000,4500,yes,C,yes,2
3129000,5495,yes,C,no,1
3118850,2398,yes,B,no,1
3115000,3000,no,C,yes,1
3115000,3850,yes,C,no,2
3115000,3500,yes,C,no,1
3087000,8100,yes,C,no,1
3080000,4960,yes,C,yes,1
3080000,2160,no,B,no,2
3080000,3090,yes,C,no,1
3080000,4500,yes,B,no,2
3045000,3800,yes,C,no,1
3010000,3090,no,B,no,2
3010000,3240,yes,B,no,2
3010000,2835,yes,B,no,1
3010000,4600,yes,A,no,1
3010000,5076,no,C,no,1
3010000,3750,yes,C,no,2
3010000,3630,yes,B,no,2
3003000,8050,yes,C,no,1
2975000,4352,no,C,no,2
2961000,3000,yes,B,no,2
2940000,5850,yes,C,no,2
2940000,4960,yes,C,no,1
2940000,3600,no,C,no,2
2940000,3660,no,C,no,2
2940000,3480,no,B,no,2
2940000,2700,no,A,no,1
2940000,3150,no,C,no,2
2940000,6615,yes,B,no,2
2870000,3040,no,C,no,1
2870000,3630,yes,C,no,1
2870000,6000,yes,B,no,1
2870000,5400,yes,C,no,2
2852500,5200,yes,C,no,3
2835000,3300,no,B,no,2
2835000,4350,no,C,no,2
2835000,2640,no,A,no,1
2800000,2650,yes,C,no,2
2800000,3960,yes,A,no,1
2730000,6800,yes,C,no,1
2730000,4000,yes,C,no,2
2695000,4000,yes,C,no,1
2660000,3934,yes,C,no,1
2660000,2000,yes,B,no,2
2660000,3630,no,C,no,2
2660000,2800,yes,C,no,1
2660000,2430,no,C,no,1
2660000,3480,yes,B,no,1
2660000,4000,yes,B,no,1
2653000,3185,yes,C,yes,1
2653000,4000,yes,C,yes,2
2604000,2910,no,C,no,1
2590000,3600,yes,C,no,1
2590000,4400,yes,C,no,1
2590000,3600,yes,A,no,2
2520000,2880,no,C,no,1
2520000,3180,no,C,no,1
2520000,3000,yes,A,no,2
2485000,4400,yes,C,no,2
2485000,3000,no,B,no,2
2450000,3210,yes,C,no,2
2450000,3240,no,C,no,1
2450000,3000,yes,C,no,1
2450000,3500,yes,C,no,1
2450000,4840,yes,C,no,2
2450000,7700,yes,C,no,1
2408000,3635,no,C,no,1
2380000,2475,yes,A,no,2
2380000,2787,yes,A,no,2
2380000,3264,yes,C,no,1
2345000,3640,yes,C,no,1
2310000,3180,yes,C,no,1
2275000,1836,no,B,no,1
2275000,3970,no,C,no,1
2275000,3970,yes,C,no,2
2240000,1950,no,C,no,1
2233000,5300,no,C,yes,1
2135000,3000,no,C,no,1
2100000,2400,yes,C,no,2
2100000,3000,yes,C,no,2
2100000,3360,yes,C,no,1
1960000,3420,no,C,no,2
1890000,1700,yes,C,no,2
1890000,3649,yes,C,no,1
1855000,2990,no,C,no,1
1820000,3000,yes,C,no,1
1767150,2400,no,B,no,1
1750000,3620,yes,C,no,1
1750000,2910,no,A,no,1
1750000,3850,yes,C,no,2
